kanji,hanviet,hiragana,meaning
,,ジャーナリスト,Nhà báo
刑事,,けいじ,Hình sự
事件現場,,じけんげんば,Hiện trường vụ việc
完売,,かんばい,Bán hết
,,ロビー,"Hành lang, sảnh đợi"
,,コーチ,Huấn luyện viên
～の元へ,,～のもとへ,Đến chõ ~
駆け寄る,,かけよる,Chạy đến
,,ワイン,Rượu vang
,,スーツケース,Vali
札束,,さつたば,Gói/bó tiền
偽札,,にせさつ,Tiền giả
目の色が変わる,,めのいろがかわる,Mắt long lên khi giận giữ
総立ち,,そうだち,Đứng trong một nhóm
,,サイン,Chữ ký
不況,,ふきょう,Kinh tế trì trệ
,,あいつ,Anh ta/cô ta
大役,,たいやく,Vai trò quan trọng
任せる,,まかせる,"Phó thác, giao cho người khác"
光栄,,こうえい,"Vinh quang, vinh dự"
,,アリ,Con kiến
殺虫剤,,さっちゅうざい,Thuốc trừ sâu
（試験に）落ちる,,（しけんに）おちる,Thi trượt
合格通知,,ごうかくつうち,Thông báo đỗ
自ら,,みずから,Tự mình
住宅街,,じゅうたくがい,Khu dân cư
転勤（する）,,てんきん（する）,Chuyển việc
年末,,ねんまつ,Cuối năm
先を争う,,さきをあらそう,Tranh giành nhau
生命,,せいめい,Sinh mệnh
敢えて,,あえて,"Dám, mạo hiểm"
伴う,,ともなう,"Theo, cùng với"
任務,,にんむ,Nhiệm vụ
引き受ける,,ひきうける,Đảm nhận
安全性,,あんぜんせい,Tính an toàn
無視（する）,,むし（する）,"Sự xem thường, sự phớt lờ"
全宇宙,,ぜんうちゅう,Toàn vũ trụ
征服（する）,,せいふく（する）,Chinh phục
船団,,せんだん,"Hạm đội, đoàn thuyền"
率いる,,ひきいる,"Lãnh đạo, chỉ huy"
うそも方便,,うそもほうべん,Lời nói dối cũng là phuwong sách
とも必要だということ,,ともひつようだということ,Đạt được mục đích gì đó
,,スター,"Ngôi sao, người nổi tiếng"
華々しい,,はなばなしい,"Rực rỡ, tráng lệ, hoành tráng"
影,,かげ,"Bóng, hình"
寄り添う,,よりそう,"Co người lại, cuộn/thu mình"
宝くじ,,たからくじ,Vé số
湯水のごとく使う,,ゆみずのごとくつかう,Xài như nước
貧乏,,びんぼう,Nghèo
遺書,,いしょ,Di chúc
記す,,しるす,Ghi vào
信念,,しんねん,"Niềm tin, đức tin, tín ngưỡng"
新薬,,しんやく,"Thuốc, dược phẩm"
開発,,かいはつ,Phát triển
取り組む,,とりくむ,"Nỗ lực, bắt tay vào, chuyên tâm"
光陰矢のごとし,,こういんやのごとし,Như mũi tên ánh sáng
侍,,さむらい,Võ sỹ Samurai
草,,くさ,Cỏ
薙ぎ払う,,なぎはらう,Cắt ngang
敵,,てき,"Kẻ thù, địch"
舞う,,まう,Nhảy mùa
,,ガンジー,Gandhi (nhà lãnh đạo cuộc độc lập của Ấn Độ)
威張る,,いばる,"Kiêu ngạo, kiêu hãnh"
振る舞う,,ふるまう,"Tiếp đãi, cư xử, hành động"
小心者,,しょうしんもの,"Người nhút nhát, nhát gan"
彗星,,すいせい,Sao chổi
老いる,,おいる,"Già, có tuổi"
安らか,,やすらか,"Hòa bình, yên tĩnh"
人影,,ひとかげ,"Bóng của người, linh hồn"
忍者,,にんじゃ,Ninja
,,ファン,"Người hâm mộ, Fan"
魅了（する）,,みりょう（する）,"Quyến rũ, đam mê, cuốn hút"
平然と,,へいぜんと,"Thờ ơ, dửng dưng"
塀,,へい,"Tường, rào"
闇,,やみ,Bóng tối
強風,,きょうふう,"Gió mạnh, bão"
消え去る,,きえさる,Biến mất
志,,こころざし,Ý chí
半ば,,なかば,"Nửa chừng, một phần"
病,,やまい,Bệnh
画家,,がか,Họa sỹ
無念,,むねん,"Hối tiếc, ân hận, thất vọng"
孔子,,こうし,Khổng tử
気が重い,,きがおもい,Cảm giác nặng nề
山寺,,やまでら,Chùa trên núi
不気味な,,ぶきみな,"Kỳ lạ, rợn người, ghê rợn"
障害,,しょうがい,"Trục trặc, trở ngại"
発生（する）,,はっせい（する）,Phát sinh
企画,,きかく,Kế hoạch
一顧,,いっこ,Ngẫm nghĩ lại một chút
微動,,びどう,Chuyển động nhẹ
古代エジプト,,こだいエジプト,Ai cập cổ đại
展示（する）,,てんじ（する）,"Triển lãm, trưng bày"
方針,,ほうしん,Phương châm
一存,,いちぞん,"Cho sự lựa chọn, để chọn"
里,,さと,Làng
待ちかねる,,まちかねる,"Chờ lâu, chờ đợi sốt ruột"
同僚,,どうりょう,Đồng nghiệp
見かねる,,みかねる,Không thể xem
相応しい,,ふさわしい,"Thích hợp, hợp lý"
俳優,,はいゆう,Diễn viên
新作,,しんさく,Tác phẩm mới
試写会,,ししゃかい,Xem trước
,,とうてい,Không thể nào có thể
,,ギャンブル,Cờ bạc
離れ離れ,,はなればなれ,Chia cách
徹する,,てっする,Đắm chìm
語明かす,,かたりあかす,Nói chuyện suốt đêm
,,シーズン,Mùa
引退,,いんたい,"Rút lui, nghỉ"
想い,,おもい,"Suy nghĩ, tư tưởng"
きれいさっぱり（捨てる）,,きれいさっぱり（すてる）,(vứt đi) sạch sẽ
閉園（する）,,へいえん（する）,Đóng cửa
当：この～,,とう：この～,~ Này
,,トリアージ,Phân loại bệnh nhân
救命救急,,きゅうめいきゅうきゅう,Cấp cứu
患者,,かんじゃ,Bệnh nhân
治療,,ちりょう,Trị liệu
優先順位,,ゆうせんじゅんい,Ưu tiên thứ tự đến trước
災害,,さいがい,"Tai họa, thảm họa"
医療設備,,いりょうせつび,Cơ sở y tế
,,スタッフ,"Nhân viên, cán bộ"
対応,,たいおう,"Đối ứng, ứng phó"
限界,,げんかい,Giới hạn
重傷者,,じゅうしょうしゃ,Người bị thương nặng
緊急時,,きんきゅうじ,Lúc khẩn cấp
速やかな,,すみやかな,"Nhanh chóng, tốc độ"
決断,,けつだん,Quyết đoán
迫る,,せまる,Thúc giục
処置,,しょち,"Xử lý, xử trí"
軽傷者,,けいしょうしゃ,Người bị thương nhẹ
搬送,,はんそう,Vận chuyển
死亡,,しぼう,Chết
非情な,,ひじょうな,"Nhẫn tâm, tàn nhẫn"
行為,,こうい,Hành vi
現場,,げんば,Hiện trường
究極,,きゅうきょく,"Cùng cực, tận cùng"
選択,,せんたく,Chọn lựa
冷静に,,れいせいに,"Bình tĩnh, trầm tĩnh"
受け止める,,うけとめる,"Đối mặt, tiếp nhận, chấp nhận"
災害時,,さいがいじ,"Lúc thảm họa, thời điểm thiên tai"
観客,,かんきゃく,"Quan khách, người xem"
退出（する）,,たいしゅつ（する）,Rời khỏi
人手,,ひとで,"Người phụ giúp, hỗ trợ"
宝石,,ほうせき,Đá quý
発行,,はっこう,Phát hành
値がつく,,ねがつく,Có giá trị
寄付,,きふ,"Tặng, đóng góp"
人間形成,,にんげんけいせい,Hình thành tính cách
公表（する）,,こうひょう（する）,"Công bố, công khai"
少子高齢社会,,しょうしこうれいしゃかい,"Xã hội nhiều người già, ít trẻ nhỏ"
対応（する）,,たいおう（する）,"Đối ứng, ứng phó"
貿易,,ぼうえき,Mậu dịch
（仕事に）就く,,（しごとに）つく,Có được một công việc
医療ミス,,いりょうミス,Sơ suất trong chữa trị
患者,,かんじゃ,Bệnh nhân
事態,,じたい,"Tình hình, hoàn cảnh"
特定（する）,,とくてい（する）,"Đã định trước, đặc định"
,,データ,Dữ liệu
厳重に,,げんじゅうに,"Nghiêm trọng, chặt chẽ"
管理（する）,,かんり（する）,Quản lý
流出（する）,,りゅうしゅつ（する）,"Chảy ra ngoài, rò rỉ"
企業,,きぎょう,"Xí nghiệp, công ty"
高齢者,,こうれいしゃ,"Người cao tuổi, người già"
需要,,じゅよう,Nhu cầu
真相,,しんそう,"Chân tướng, sự thật"
福祉,,ふくし,Phúc lợi
存続,,そんぞく,"Tồn tại lâu dài, còn mãi"
火災,,かさい,Hỏa hoạn
非常時,,ひじょうじ,Lúc khẩn cấp
整備,,せいび,"Bảo dưỡng, chuẩn bị đầy đủ"
不況下,,ふきょうか,Sự suy thoái kinh tế
順調に,,じゅんちょうに,Thuận lợi
業績,,ぎょうせき,Thành tích
消費,,しょうひ,"Tiêu phí, tiêu dùng"
低迷（する）,,ていめい（する）,"Sụt giảm, suy thoái, khủng hoảng"
根強い,,ねづよい,"Kiên trì, mạnh mẽ"
遠方,,えんぽう,"Xa lắc, đằng xa"
押し寄せる,,おしよせる,Đẩy ra một phía
悪天候下,,あくてんこうか,Dưới điều kiện thời tiết xấu
性能,,せいのう,Tính năng
企画,,きかく,Kế hoạch
誤解を招く,,ごかいをまねく,Dẫn đến sự hiểm lầm
境遇,,きょうぐう,"Cảnh ngộ, hoàn cảnh"
前衛書道,,ぜんえいしょどう,Thư pháp tiên phong
分野,,ぶんや,Lĩnh vực
現代,,げんだい,Hiện đại
一分野,,いちぶんや,Một lĩnh vực
地位,,ちい,Vị trí
確立（する）,,かくりつ（する）,Xác lập
筆順,,ひつじゅん,Thứ tự khi hạ bút
二度書き,,にどがき,"Đồ lại, viết lại chữ đã viết"
縛る,,しばる,Cột
筆,,ふで,Bút lông
余白,,よはく,"Chỗ còn để trắng, chỗ trống, lề"
空間,,くうかん,"Không gian, khoảng trống"
純粋,,じゅんすい,"Tuần túy, tinh khiến"
鑑賞（する）,,かんしょう（する）,Đánh giá nghệ thuật
出展,,しゅってん,Tham gia triển lãm
衝撃,,しょうげき,"Đả kích, đánh mạnh (Về tinh thần)"
題字,,だいじ,Chữ đầu đề
高名な,,こうめいな,"Nổi tiếng, có danh vọng"
書家,,しょか,Thư pháp gia
固定的な,,こていてきな,Cố định
,,イメージ,Ấn tượng
抱く,,いだく,"Ôm ấp, nuôi dưỡng"
卑近な,,ひきんな,"Đơn giản, phổ biến"
恐縮,,きょうしゅく,"Không giám, xin lỗi"
公衆便所,,こうしゅうべんじょ,Nhà về sinh công cộng
否,,いな,Không
疑う,,うたがう,Nghi ngờ
固定観念,,こていかんねん,"Quan niệm rập khuôn, ý tưởng cố định"
解放,,かいほう,Giải phòng
異なる,,ことなる,Khác
,,ペンキ,Sơn
私有地,,しゆうち,Đất tư
,,キャンパス,"Campus, khuôn viên trường"
,,ポスター,"Áp phích, Poster"
草原,,そうげん,Thảo nguyên
本番,,ほんばん,Biểu diễn trước khán giả
～に励む,,～にはげむ,"Phấn đấu, cố gắng ~"
,,コーチ,Huấn luyện viên
王者,,おうじゃ,"Vua, bậc vương giả"
,,ゴールイン,Ghi bàn
孤独な,,こどくな,Cô độc
愛犬,,あいけん,Con chó yêu thích
市場調査,,しじょうちょうさ,Điều tra thị trường
損失,,そんしつ,Tổn thất
,,カワウソ,Con rái cá
毛皮,,けがわ,"Lông, da thú"
乱獲（する）,,らんかく（する）,"Khai thác, đánh bắt quá mức"
絶滅（する）,,ぜつめつ（する）,Tuyệt chủng
過ち,,あやまち,"Lỗi lầm, sai lầm"
裏切る,,うらぎる,Phản bội
権力の座,,けんりょくのざ,Ghế quyền lực
主役,,しゅやく,Theo đuổi ~
巧みな,,たくみな,Vai chính
,,ストーリー,Tinh xảo
展開,,てんかい,Triển khai
視聴率,,しちょうりつ,Xếp hạng (của chương trình truyền hình)
,,トップ,"Top, đầu, hàng đầu"
獲得（する）,,かくとく（する）,"Thu được, giành được"
,,リアルな,"Thực sự, thực tế"
描写,,びょうしゃ,Miêu tả
幻想的な,,げんそうてきな,Ảo tưởng
世界観,,せかいかん,Thế giới quan
印象,,いんしょう,Ấn tượng
厳選（する）,,げんせん（する）,"Lựa chọn cẩn thận, chọn lọc kỹ càng"
原料,,げんりょう,Nguyên liệu
育む,,はぐくむ,"Ấp ủ, nuôi dưỡng"
（空気が）澄む,,（くうきが）すむ,(Không khí) trở nên trong sạch
誇る,,ほこる,Tự hào
,,ウイスキー,Rượu Whisky
快挙,,かいきょ,"Thành tích rực rỡ, thành tựu tuyệt"
熱意,,ねつい,"Nhiệt huyết, nhiệt tình, đam mê"
成し遂げる,,なしとげる,Hoàn thành
停電,,ていでん,Mất điện
推測,,すいそく,Suy đoán
副作用,,ふくさよう,Tác dụng phụ
慎重に,,しんちょうに,Thận trọng
,,リーダー,"Người dẫn đầu, lãnh đạo"
決断,,けつだん,Quyết đoán
迫る,,せまる,"Áp sát, đến gần, thúc giục"
,,コレクション,Bộ sưu tập
美術品,,びじゅつひん,"Sản phẩm, tác phẩm nghệ thuật"
造詣が深い,,ぞうけいがふかい,"Quen thuộc, thành thạo"
察する,,さっする,"Suy ra, cảm giác"
賄賂,,わいろ,Hối lộ
真っ先に,,まっさきに,"Thẳng tới, thẳng về phía trước"
救命ボート,,きゅうめいボート,Thuyền cứu hộ
船長,,せんちょう,Thuyền trưởng
態度,,たいど,Thái độ
想定外,,そうていがい,"Không mong muốn, bất ngờ"
責任者,,せきにんしゃ,Người chịu trách nhiệm
発言,,はつげん,Phát ngôn
だまし取る,,だましとる,Lừa gạt lấy đi các thứ
横領（する）,,おうりょう（する）,"Biển thủ, tham ô"
伐採,,ばっさい,Khai thác gỗ
自然災害,,しぜんさいがい,Thiên tai
欠陥品,,けっかんひん,"Mặt hàng, sản phẩm bị lỗi"
消費者,,しょうひしゃ,Người tiêu dùng
非難（する）,,ひなん（する）,Phê phán
高齢者,,こうれいしゃ,"Người già, người cao tuổi"
福祉,,ふくし,Phúc lợi
公の場,,おおやけのば,Nơi công cộng
謝罪（する）,,しゃざい（する）,"Tạ tội, xin lỗi"
愛情,,あいじょう,"Ái tình, tình cảm"
転落（する）,,てんらく（する）,"Rớt xuống, giáng chức"
奇跡,,きせき,Kỳ tích
戦火,,せんか,"Cuộc chiến, binh hỏa"
異国,,いこく,"Nước ngoài, xứ lạ"
めぐり会う,,めぐりあう,Tình cờ gặp nhau
運命,,うんめい,Vận mệnh
弾圧（する）,,だんあつ（する）,Đàn áp
報道（する）,,ほうどう（する）,"Tường thuật, thông báo"
,,ジャーナリスト,Nhà báo
正義,,せいぎ,Chính giữa
離島,,りとう,Các đảo nhỏ tách rời không có cây cầu nối
不誠実,,ふせいじつ,"Gian xảo, không thành thật"
,,サービスセンター,Trung tâm dịch vụ khách hàng
,,クレーム,Phàn nàn
非常識,,ひじょうしき,Thiếu kiến thức thông thường
問いかけ,,といかけ,"Đặt câu hỏi, hỏi"
死体,,したい,Thi thể
儲かる,,もうかる,"Có lời, có lãi"
単純,,たんじゅん,Đơn thuần
不可解,,ふかかい,Không thể hiểu được
金閣寺,,きんかくじ,Kinkakuji Ngôi chùa nổi tiếng ở Kyoto
建造物,,けんぞうぶつ,"Kiến trúc, xây dựng"
誠に,,まことに,"Rất, thực sự"
痛恨,,つうこん,Sự ăn năn
贅沢,,ぜいたく,"Xa xỉ, xa hoa"
災害,,さいがい,"Tai họa, thảm họa"
故郷,,こきょう,Cố hương
落書き,,らくがき,"Viết, vẽ bậy"
～表,,～ひょう,Phiếu ~
失望,,しつぼう,Thất vọng
憤り,,いきどおり,Sự căm phẫn
退官,,たいかん,Quan chức về hưu
一同,,いちどう,"Tất cả, cả"
惜別,,せきべつ,Đau khổ tiếc thương khi phải rời nhau
～の念：～の気持ち・思い,,～のねん：～のきもち・おもい,Cảm giác hoặc suy nghĩ về ~
,,ホームドクター,Bác sỹ gia đình
信頼,,しんらい,"Tin tưởng, tin cậy"
眼科,,がんか,"Khoa mắt, nhãn khoa"
専門医,,せんもんい,"Chuyên gia y tế, bác sỹ nha khoa"
応募作,,おうぼさく,"Đệ trình, đệ đơn"
推薦（する）,,すいせん（する）,Tiến cử
担う,,になう,"Gánh vác, đảm trách"
人材,,じんざい,"Nhân viên, nhân tài, nhân lực"
有罪,,ゆうざい,"Có tội, tội lỗi"
物的証拠,,ぶってきしょうこ,Vật chứng
虎,,とら,Con hổ
百獣の王,,ひゃくじゅうのおう,Vua của muôn thú
学会,,がっかい,Hội nghị khoa học
成果,,せいか,Thành quả
証明（する）,,しょうめい（する）,"Bằng chứng, chứng minh"
～の鍵,,～のかぎ,Chìa khóa của ~
待遇,,たいぐう,"Đãi ngộ, tiếp đón"
望む,,のぞむ,"Hy vọng, ao ước"
転職,,てんしょく,"Đổi nghề, chuyển việc"
良質,,りょうしつ,Chất lượng tốt
名水,,めいすい,Nước nổi tiếng
他社,,たしゃ,Người khác
思いやる,,おもいやる,"Thông cảm, quan tâm"
耐える,,たえる,"Chịu đựng, chịu được"
著作権者,,ちょさくけんしゃ,Người giữ (sở hữu) bản quyền
同意,,どうい,Đồng ý
承認,,しょうにん,Sự thừa nhận
,,リスク,"Rủi ro, mạo hiểm"
利益,,りえき,"Lợi nhuận, lãi"
業務提携,,ぎょうむていけい,Liên kết nghiệp vụ
,,プロジェクト,Dự án
国会議員,,こっかいぎいん,Thành viên của quốc hội
当選（する）,,とうせん（する）,"Trúng cử, đắc cử"
個人情報,,こじんじょうほう,Thông tin cá nhân
第三者,,だいさんしゃ,Người thứ 3
予算,,よさん,"Dự toán, ngân sách"
変更,,へんこう,Thay đổi
議会,,ぎかい,Họp quốc hội
